SAVE DATA HERE
CHECK LAST COLUMNS FOR GRAPH VALUES
https://docs.google.com/spreadsheets/d/1hya5Q1pJwa57wg9IzWjSs6qrBkluxmcq1koSuWfVUH8/edit?usp=sharing

{0,1,2,3,4,5,6,7,8} - g

{1,0,2,3,4,5,6,7,8}
{5,1,2,3,4,0,6,7,8}
{1,2,0,3,4,5,6,7,8}
{3,1,0,2,4,5,6,7,8}
{5,1,2,3,0,4,6,7,8}
{6,2,1,3,4,5,0,7,8}
{8,1,2,3,4,5,7,6,0}
{1,2,0,4,3,5,6,7,8}
{3,1,0,2,5,4,6,7,8}
{3,1,0,2,4,5,6,8,7}
{5,1,2,3,4,0,7,6,8}
{4,1,3,2,8,5,6,7,0}
{1,0,3,2,5,4,7,6,8}
{3,5,8,0,4,1,7,6,2}
{2,7,0,3,5,8,1,6,4}

{8,6,7,5,4,3,2,1,0}
{1,2,3,4,5,6,0,8,7}

{1,2,3,4,5,6,7,8,0} - g

{1,0,2,3,4,5,6,7,8}
{5,1,2,3,4,0,6,7,8}
{1,2,0,3,4,5,6,7,8}
{3,1,0,2,4,5,6,7,8}
{5,1,2,3,0,4,6,7,8}
{6,2,1,3,4,5,0,7,8}
{8,1,2,3,4,5,7,6,0}



init {1,3,4,8,0,5,7,2,6}
goal {1,2,3,8,0,4,7,6,5}

init {2,3,1,7,0,8,6,5,4}
goal {1,2,3,8,0,4,7,6,5}

init {2, 6, 0, 7, 8, 5, 1, 4, 3}
goal {4, 1, 2, 5, 0, 6, 8, 3, 7}

init {1, 0, 5, 2, 4, 3, 7, 8, 6}
goal {1, 5, 2, 3, 8, 6, 7, 0, 4}

init {7, 2, 1, 0, 8, 3, 6, 5, 4}
goal {1, 3, 4, 8, 0, 5, 6, 2, 7}

init {1, 2, 8, 5, 3, 6, 7, 4, 0}
goal {6, 5, 0, 4, 8, 1, 2, 7, 3}

init{5, 7, 8, 4, 0, 6, 1, 2, 3}
goal{4, 5, 1, 7, 6, 2, 0, 8, 3}

init {6, 5, 7, 8, 1, 4, 3, 2, 0}
goal {7, 3, 4, 0, 1, 5, 2, 8, 6}

init {5, 4, 7, 3, 8, 2, 0, 6, 1}
goal {8, 2, 1, 4, 0, 3, 5, 7, 6}

init {0, 1, 8, 4, 2, 7, 6, 3, 5}
goal {6, 8, 4, 5, 3, 0, 2, 7, 1}
